station_eng,station_canto,line,lat,long,location_map_url,station_map_url
Whampoa,黃埔,Kwun Tong,22.30503,114.18955,https://www.mtr.com.hk/archive/ch/services/maps/wha.pdf,https://www.mtr.com.hk/archive/ch/services/layouts/wha.pdf
Ho Man Tin,何文田,Kwun Tong,22.3093594,114.1827294,https://www.mtr.com.hk/archive/ch/services/maps/hom.pdf,https://www.mtr.com.hk/archive/ch/services/layouts/hom.pdf
Yau Ma Tei,油麻地,Kwun Tong,22.313734,114.169815,https://www.mtr.com.hk/archive/ch/services/maps/ymt.pdf,https://www.mtr.com.hk/archive/ch/services/layouts/ymt.pdf
Mong Kok,旺角,Kwun Tong,22.3194068,114.1692081,https://www.mtr.com.hk/archive/ch/services/maps/mok.pdf,https://www.mtr.com.hk/archive/ch/services/layouts/mok.pdf
Prince Edward,太子,Kwun Tong,22.325736,114.167909,https://www.mtr.com.hk/archive/ch/services/maps/pre.pdf,https://www.mtr.com.hk/archive/ch/services/layouts/pre.pdf
Shek Kip Mei,石硤尾,Kwun Tong,22.331675,114.168524,https://www.mtr.com.hk/archive/ch/services/maps/skm.pdf,https://www.mtr.com.hk/archive/ch/services/layouts/skm.pdf
Kowloon Tong,九龍塘,Kwun Tong,22.3371583,114.1760929,https://www.mtr.com.hk/archive/ch/services/maps/kot.pdf,https://www.mtr.com.hk/archive/ch/services/layouts/kot.pdf
Lok Fu,樂富,Kwun Tong,22.338015,114.187606,https://www.mtr.com.hk/archive/ch/services/maps/lof.pdf,https://www.mtr.com.hk/archive/ch/services/layouts/lof.pdf
Wong Tai Sin,黃大仙,Kwun Tong,22.34166,114.19385,https://www.mtr.com.hk/archive/ch/services/maps/wts.pdf,https://www.mtr.com.hk/archive/ch/services/layouts/wts.pdf
Diamond Hill,鑽石山,Kwun Tong,22.340017,114.201698,https://www.mtr.com.hk/archive/ch/services/maps/dih.pdf,https://www.mtr.com.hk/archive/ch/services/layouts/dih.pdf
Choi Hung,彩虹,Kwun Tong,22.3348908,114.2089891,https://www.mtr.com.hk/archive/ch/services/maps/chh.pdf,https://www.mtr.com.hk/archive/ch/services/layouts/chh.pdf
Kowloon Bay,九龍灣,Kwun Tong,22.3231532,114.2140657,https://www.mtr.com.hk/archive/ch/services/maps/kob.pdf,https://www.mtr.com.hk/archive/ch/services/layouts/kob.pdf
Ngau Tau Kok,牛頭角,Kwun Tong,22.315134,114.219628,https://www.mtr.com.hk/archive/ch/services/maps/ntk.pdf,https://www.mtr.com.hk/archive/ch/services/layouts/ntk.pdf
Kwun Tong,觀塘,Kwun Tong,22.311657,114.226971,https://www.mtr.com.hk/archive/ch/services/maps/kwt.pdf,https://www.mtr.com.hk/archive/ch/services/layouts/kwt.pdf
